chr1	121535434	124535434
chr2	92326171	95326171
chr3	90504854	93504854
chr4	49660117	52660117
chr5	46405641	49405641
chr6	58830166	61830166
chr7	58054331	61054331
chr8	43838887	46838887
chr9	47367679	50367679
chr10	39254935	42254935
chr11	51644205	54644205
chr12	34856694	37856694
chr13	16000000	19000000
chr14	16000000	19000000
chr15	17000000	20000000
chr16	36311159	39311159
chr17	22813680	25813680
chr18	15460900	18460900
chr19	24498981	27498981
chr20	26436232	29436232
chr21	10864561	13864561
chr22	12954789	15954789
chrX	58632012	61632012
chrY	10104553	13104553
